Kod obce,Nazev obce          ,Volici v seznamu,Vydane obalky,Platne hlasy,Kandidujici strany
546771,Kamık               ,130,105,105,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565016,Keblice             ,300,157,155,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565024,Klapı               ,402,244,241,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565032,Kleneè              ,426,273,272,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565059,Kostomlaty pod Øípem,367,174,174,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565067,Krabèice            ,720,449,446,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
565075,Køesín              ,270,180,180,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565083,Køešice             ,1174,673,667,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
565091,Kyškovice           ,235,164,164,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565105,Levín               ,121,81,79,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565113,Lhotka nad Labem    ,242,171,171,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565121,Libìšice            ,1260,614,610,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
565148,Libkovice pod Øípem ,433,237,236,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565156,Libochovany         ,464,270,269,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565164,Libochovice         ,2867,1589,1580,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
565172,Libotenice          ,340,238,237,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
564567,Litomìøice          ,19203,11734,11660,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
546691,Lkáò                ,144,80,80,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565211,Loveèkovice         ,474,301,301,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565229,Lovosice            ,7078,3871,3851,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
565237,Lukavec             ,283,160,158,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565245,Malé ernoseky      ,585,405,403,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
542491,Malíè               ,165,100,100,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565253,Martinìves          ,625,389,387,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
542521,Michalovice         ,124,91,88,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
530506,Miøejovice          ,176,115,114,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565296,Mlékojedy           ,176,84,82,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565300,Mnetìš              ,443,314,313,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565318,Mšené-láznì         ,1441,869,868,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
565342,Nové Dvory          ,328,200,198,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
542440,Oleško              ,77,49,49,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
542539,Píšany             ,178,110,110,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565393,Ploskovice          ,354,217,215,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565415,Podsedice           ,531,368,367,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
565431,Polepy              ,1073,610,599,"Obèanská demokratická strana, Øád národa - Vlastenecká unie, CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Èeská str.sociálnì demokrat., STAROSTOVÉ A NEZÁVISLÍ, Komunistická str.Èech a Moravy, Strana zelenıch, ROZUMNÍ-stop migraci,diktát.EU, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, Obèanská demokratická aliance, Èeská pirátská strana, Referendum o Evropské unii, TOP 09, ANO 2011, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Køes.demokr.unie-Ès.str.lid., Èeská strana národnì sociální, REALISTÉ, SPORTOVCI, Dìlnic.str.sociální spravedl., Svob.a pø.dem.-T.Okamura (SPD), Strana Práv Obèanù"
565458,Prackovice nad Labem,528,322,319,"Obèanská demokratická aliance, Èeská str.sociálnì demokrat., CESTA ODPOVÌDNÉ SPOLEÈNOSTI, Obèanská demokratická strana, Strana zelenıch, Referendum o Evropské unii, ROZUMNÍ-stop migraci,diktát.EU, Èeská strana národnì sociální, Køes.demokr.unie-Ès.str.lid., Komunistická str.Èech a Moravy, STAROSTOVÉ A NEZÁVISLÍ, Dobrá volba 2016, SPR-Republ.str.Èsl. M.Sládka, Dìlnic.str.sociální spravedl., SPORTOVCI, ANO 2011, Øád národa - Vlastenecká unie, REALISTÉ, Strana svobodnıch obèanù, Blok proti islam.-Obran.domova, TOP 09, Svob.a pø.dem.-T.Okamura (SPD), Èeská pirátská strana, Strana Práv Obèanù"
